,id,title,original_language,release_date,release_mon,release_month,release_year,vote_average,popularity,adult
4519,31592,The Old Dark House,en,10/19/32,10,October,1932,6.8,5.674,FALSE
14519,31592,The Old Dark House,en,10/19/32,10,October,1932,6.8,5.674,FALSE
1442,195,Trouble in Paradise,en,10/30/32,10,October,1932,7.5,6.384,FALSE
11442,195,Trouble in Paradise,en,10/30/32,10,October,1932,7.5,6.384,FALSE
1041,244,King Kong,en,3/15/33,3,March,1933,7.6,23.666,FALSE
11041,244,King Kong,en,3/15/33,3,March,1933,7.6,23.666,FALSE
4048,44494,Zero for Conduct,fr,4/7/33,4,April,1933,6.9,7.086,FALSE
14048,44494,Zero for Conduct,fr,4/7/33,4,April,1933,6.9,7.086,FALSE
1098,12206,The Testament of Dr. Mabuse,de,4/21/33,4,April,1933,7.6,8.601,FALSE
11098,12206,The Testament of Dr. Mabuse,de,4/21/33,4,April,1933,7.6,8.601,FALSE
4422,34463,Three Little Pigs,en,5/27/33,5,May,1933,6.8,10.87,FALSE
14422,34463,Three Little Pigs,en,5/27/33,5,May,1933,6.8,10.87,FALSE
1296,10787,The Invisible Man,en,11/3/33,11,November,1933,7.5,13.212,FALSE
11296,10787,The Invisible Man,en,11/3/33,11,November,1933,7.5,13.212,FALSE
2072,3063,Duck Soup,en,11/12/33,11,November,1933,7.3,14.417,FALSE
12072,3063,Duck Soup,en,11/12/33,11,November,1933,7.3,14.417,FALSE
3146,43128,Sons of the Desert,en,12/29/33,12,December,1933,7.1,7.001,FALSE
13146,43128,Sons of the Desert,en,12/29/33,12,December,1933,7.1,7.001,FALSE
510,3078,It Happened One Night,en,2/22/34,2,February,1934,7.9,12.516,FALSE
10510,3078,It Happened One Night,en,2/22/34,2,February,1934,7.9,12.516,FALSE
1313,43904,L'Atalante,fr,4/24/34,4,April,1934,7.5,11.21,FALSE
11313,43904,L'Atalante,fr,4/24/34,4,April,1934,7.5,11.21,FALSE
4649,24106,The Black Cat,en,5/7/34,5,May,1934,6.8,6.68,FALSE
