zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
99753,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99750,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99590,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99558,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99761,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99765,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99763,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99563,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99666,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99771,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99770,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99758,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99742,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99749,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99665,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99589,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99630,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99602,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99655,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99578,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99658,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99651,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99657,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
31707,230,Albany Utility Board,GA,Bundled,Municipal,0.101477259,0,0.116121317
31705,230,Albany Utility Board,GA,Bundled,Municipal,0.101477259,0,0.116121317
31701,230,Albany Utility Board,GA,Bundled,Municipal,0.101477259,0,0.116121317
